textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.95,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.87,True,0.06,True,0.2
True,0.14,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,True,0.86,True,0.06,True,0.2
True,0.19,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,1.66,True,0.06,True,0.2
True,0.22,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.87,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.15,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.71,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.78,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,False,1.86,True,0.06,True,0.2
True,0.15,True,0.0,True,0.04,False,0.0,True,0.0,True,0.0,False,0.0,True,0.89,True,0.06,True,0.21
True,0.2,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.65,True,0.06,True,0.2
True,0.18,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.59,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.8,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.63,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.85,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.07,True,0.06,True,0.2
True,0.18,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.7,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.82,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.47,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.85,True,0.06,True,0.2
True,0.18,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.49,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.58,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.01,True,0.0,True,0.0,True,2.3,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.66,True,0.06,True,0.2
