polyglot,time,langDedect,time,langid,time,fasttext,time
3,0.0001,3,0.0302,3,0.0025,3,0.0004
3,0.0002,3,0.0276,3,0.0027,3,0.0004
3,0.0001,3,0.023,3,0.0026,3,0.0004
3,0.0002,3,0.048,3,0.0075,3,0.0009
3,0.0002,3,0.0435,3,0.0025,3,0.0003
3,0.0003,3,0.0596,3,0.0045,3,0.001
7,0.0003,1,0.0848,3,0.0023,3,0.0003
3,0.0002,3,0.0435,3,0.0024,3,0.0003
3,0.0001,3,0.0216,3,0.0025,3,0.0002
3,0.0001,3,0.018,3,0.0024,3,0.0002
3,0.0001,3,0.0266,7,0.0063,7,0.0003
3,0.0001,3,0.0184,3,0.0021,7,0.0002
3,0.0001,3,0.0223,3,0.0025,7,0.0003
3,0.0001,3,0.0233,3,0.0023,7,0.0002
3,0.0002,3,0.0211,3,0.003,7,0.0004
3,0.0001,3,0.0168,7,0.0021,7,0.0002
3,0.0002,3,0.0217,3,0.0036,7,0.0005
3,0.0002,3,0.017,3,0.0029,7,0.0003
3,0.0003,3,0.0312,3,0.0032,3,0.0004
3,0.0001,3,0.0176,3,0.0023,7,0.0002
3,0.0003,3,0.0323,3,0.0057,3,0.0008
2,0.0001,2,0.048,7,0.0024,7,0.0002
3,0.0003,3,0.0304,3,0.0025,7,0.0003
3,0.0002,3,0.02,3,0.0032,3,0.0004
3,0.0001,3,0.0226,3,0.0021,7,0.0002
3,0.0003,3,0.0287,3,0.0059,7,0.0008
